CP;221;223;AB6;313;318;319;320;321;31N;32N;32Q;332;333;338;339;343;346;359;351;388;733;734;73P;735;73W;73H;73J;7M8;744;74Y;752;75F;76W;76Y;772;77X;77W;788;789;781;CR9;E75;E90;E95;290;295;F70;100;GNPS;GNPM;GNPL;GNPXL;GNCM;GNCL;GNCXL
IC_V;165;175;190;190;165;165;175;175;165;175;175;175;175;175;175;175;175;220;220;190;165;175;175;165;165;165;165;165;215;215;175;175;190;190;200;175;200;190;190;190;165;190;190;190;190;190;155;165;165;175;175;200;175;190;215
IC_VS;3500;3100;3000;2500;3000;2500;2500;2500;2500;2200;2000;2000;2000;2000;2000;1400;1500;3000;2500;1500;2500;3000;3000;3000;3000;3000;3000;3000;1500;1500;3500;3500;3000;3000;3000;2500;3000;2700;2700;2700;2500;3400;3400;3000;3400;3000;3000;2500;3000;2500;2000;3000;3000;3000;1500
FL150_V;280;280;290;260;290;290;290;290;290;290;290;290;290;290;290;290;290;300;300;320;270;270;270;270;280;290;290;290;300;300;300;300;290;290;300;280;300;290;290;290;290;300;300;300;300;300;250;250;250;290;290;300;270;290;300
FL150_VS;2500;2600;3200;3000;2000;2200;2000;2000;2200;2000;1500;2500;2000;1500;1500;1500;1200;2300;2000;2500;2000;2500;2500;2500;2500;2000;2000;2000;1500;1500;2500;2500;2500;2500;2500;2000;2500;2000;2000;2000;1800;2800;2800;2500;2800;2500;2000;2000;2500;2000;2000;2500;2500;2500;1500
FL240_V;280;280;290;260;290;290;290;290;290;290;290;290;290;290;290;290;290;300;300;320;270;270;270;270;280;290;290;290;300;300;300;300;290;290;300;280;300;290;290;290;290;300;300;300;300;300;250;250;250;290;290;300;270;290;300
FL240_VS;2000;1800;2500;2800;2000;1500;1400;1800;2200;1500;1200;2200;1300;1200;1200;1000;1000;1600;1500;1300;1400;2000;2000;1800;2500;2000;2000;2000;1500;1500;2000;2000;2000;2000;2000;1500;2000;1500;1500;1500;1800;2200;2200;2000;2200;2000;1500;1500;1500;1400;1300;2000;2000;2000;1500
C_V;0.76;0.76;0.78;0.79;0.76;0.78;0.78;0.78;0.78;0.78;0.78;0.8;0.8;0.8;0.8;0.8;0.81;0.82;0.82;0.83;0.7;0.7;0.7;0.7;0.74;0.78;0.72;0.78;0.75;0.75;0.78;0.78;0.72;0.72;0.83;0.83;0.83;0.79;0.79;0.79;0.72;0.75;0.75;0.75;0.75;0.75;0.6;0.6;0.68;0.78;0.8;0.83;0.7;0.72;0.75
C_VS;1800;1500;800;1500;1000;1000;1000;1000;1000;1000;1000;1500;1000;1000;1000;700;800;1400;1000;1000;1000;1000;1000;1000;1500;1500;1500;1500;1500;1500;1500;1500;1000;1000;1500;2000;1500;1500;1500;1500;1300;1600;1800;1500;1800;1500;1000;1000;1000;1000;1000;1500;1000;1000;1500
