FlightNumber,TravelDate,FlightType,Airline,AirlineCode,OriginCode,DestinationCode,EquipmentName,Aircraft type ICAO,MTOW,Seats,Passengers,CargoMass,CheckedBaggageMass,O_Lat,O_Lon,D_Lat,D_Lon,Distance_km
SN14049,2/7/2018,P,Brussels Airlines,SN,BRU,IBZ,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,38.8728981,1.37311995,1359.456763
SN14061,2/7/2018,P,Brussels Airlines,SN,BRU,JMK,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,37.43510056,25.34810066,2224.283483
SN14062,2/7/2018,P,Brussels Airlines,SN,BRU,JTR,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,36.39920044,25.47929955,2319.788468
SN14066,2/7/2018,P,Brussels Airlines,SN,BRU,KGS,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,36.79330063,27.0916996,2379.991506
SN14085,2/7/2018,P,Brussels Airlines,SN,BRU,KRK,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,50.077702,19.7848,1084.319423
SN14086,2/7/2018,P,Brussels Airlines,SN,BRU,LED,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,59.8003006,30.26250076,1888.372478
SN14089,2/7/2018,P,Brussels Airlines,SN,BRU,LEI,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,36.84389877,-2.370100021,1655.094819
SN14098,4/7/2018,P,Brussels Airlines,SN,DUS,CUN,343 (A340-300),A343,276500,300,,,,51.289501,6.76678,21.03650093,-86.87709808,8443.688832
SN14107,4/7/2018,P,Brussels Airlines,SN,CUN,DUS,343 (A340-300),A343,276500,300,,,,21.03650093,-86.87709808,51.289501,6.76678,8443.688832
SN14116,4/7/2018,P,Brussels Airlines,SN,JFK,DUS,343 (A340-300),A343,276500,300,,,,40.63980103,-73.77890015,51.289501,6.76678,6017.223
SN14142,4/7/2018,P,Brussels Airlines,SN,PUJ,DUS,343 (A340-300),A343,276500,300,,,,18.56739998,-68.36340332,51.289501,6.76678,7381.574229
SN14151,4/7/2018,P,Brussels Airlines,SN,DUS,JFK,343 (A340-300),A343,276500,300,,,,51.289501,6.76678,40.63980103,-73.77890015,6017.223
